City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Talnakh,RU,69.4865,88.3972,2.44,94,100,12.39,overcast clouds
79,Beringovskiy,RU,63.05,179.3167,0.88,96,99,10.67,overcast clouds
80,Flinders,AU,-34.5833,150.8552,58.28,88,100,18.07,light rain
81,Tiszasuly,HU,47.3833,20.4,33.82,86,99,10.92,overcast clouds
82,San Cristobal,VE,7.7669,-72.225,69.98,98,97,1.39,overcast clouds
83,Bredasdorp,ZA,-34.5322,20.0403,62.85,92,99,9.22,moderate rain
84,Bowen,AU,-20.0167,148.2333,86.22,67,98,9.73,light rain
85,Tiksi,RU,71.6872,128.8694,0.03,93,100,5.35,overcast clouds
86,Cherskiy,RU,68.75,161.3,-35.57,98,21,3.89,few clouds
87,Cabo San Lucas,MX,22.8909,-109.9124,74.86,65,100,8.16,overcast clouds
88,Oktyabrskoye,RU,43.0645,44.7417,23.14,93,0,2.24,fog
89,Chuy,UY,-33.6971,-53.4616,65.97,91,21,12.21,few clouds
90,Portsmouth,GB,50.799,-1.0913,40.51,88,96,31.9,light rain
91,Saint George,US,37.1041,-113.5841,54.19,17,1,0.0,clear sky
92,Sikeston,US,36.8767,-89.5879,37.4,80,1,4.61,clear sky
93,Sakakah,SA,29.9697,40.2064,54.97,49,17,2.68,few clouds
94,Humaita,BR,-7.5061,-63.0208,74.82,97,100,1.92,overcast clouds
95,Parana,AR,-31.732,-60.5238,70.21,52,0,6.78,clear sky
96,Fortuna,US,40.5982,-124.1573,52.14,81,1,0.0,clear sky
97,Dzilam Gonzalez,MX,21.2833,-88.9333,70.48,89,38,4.92,scattered clouds
98,Knysna,ZA,-34.0363,23.0471,59.38,86,96,9.42,overcast clouds
99,Angoche,MZ,-16.2325,39.9086,77.52,65,100,17.45,overcast clouds
100,Faanui,PF,-16.4833,-151.75,81.61,74,12,17.78,few clouds
101,Rio Claro,BR,-22.4114,-47.5614,69.62,90,26,6.93,scattered clouds
102,Klaksvik,FO,62.2266,-6.589,32.92,64,100,35.48,light snow
103,Rio Brilhante,BR,-21.8019,-54.5464,74.97,78,0,6.46,clear sky
104,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,67,20,11.5,few clouds
105,Villarrica,PY,-25.75,-56.4333,65.44,84,0,2.89,clear sky
106,Necochea,AR,-38.5473,-58.7368,53.89,92,0,11.45,clear sky
107,Nyurba,RU,63.2842,118.3319,5.45,93,100,10.31,overcast clouds
108,Altay,CN,47.8667,88.1167,5.85,74,70,7.27,broken clouds
109,Khandyga,RU,62.6667,135.6,-7.73,78,68,3.8,broken clouds
110,Leningradskiy,RU,69.3833,178.4167,-24.23,96,14,4.94,few clouds
111,Milicz,PL,51.5277,17.2714,32.13,98,100,3.44,overcast clouds
112,Port Hardy,CA,50.6996,-127.4199,42.8,93,75,2.3,broken clouds
113,Emba,KZ,48.8264,58.1442,14.7,84,74,5.41,broken clouds
114,Hilo,US,19.7297,-155.09,75.06,69,37,4.72,scattered clouds
115,Lebu,CL,-37.6167,-73.65,52.95,82,8,13.33,clear sky
116,Ballina,AU,-28.8667,153.5667,77.18,78,90,17.27,overcast clouds
117,Hithadhoo,MV,-0.6,73.0833,81.07,70,69,13.11,broken clouds
118,Bandarbeyla,SO,9.4942,50.8122,77.59,85,95,10.09,overcast clouds
119,Benghazi,LY,32.1167,20.0667,67.24,57,95,3.58,overcast clouds
120,Santander Jimenez,MX,24.2167,-98.4667,58.8,61,100,3.67,overcast clouds
121,Laranjeiras Do Sul,BR,-25.4078,-52.4161,57.16,97,9,3.71,light rain
122,Erenhot,CN,43.6475,111.9767,29.53,62,0,10.63,clear sky
123,Hermanus,ZA,-34.4187,19.2345,62.67,85,97,12.3,moderate rain
124,Olinda,BR,-8.0089,-34.8553,82.13,74,75,10.36,broken clouds
125,Kidal,ML,18.4411,1.4078,75.83,27,82,9.51,broken clouds
126,Dobrusevo,MK,41.1686,21.4825,42.19,88,4,6.82,clear sky
127,Clyde River,CA,70.4692,-68.5914,-0.17,85,83,5.75,broken clouds
128,Pangnirtung,CA,66.1451,-65.7125,11.98,67,100,6.91,overcast clouds
129,Saldanha,ZA,-33.0117,17.9442,60.85,90,47,14.76,light rain
130,Codrington,AU,-38.2667,141.9667,62.4,53,96,20.83,overcast clouds
131,Sabratah,LY,32.7933,12.4885,63.05,38,100,11.61,overcast clouds
132,Ayan,RU,56.45,138.1667,23.25,69,18,3.51,few clouds
133,Goderich,CA,43.7501,-81.7165,30.52,69,100,14.97,overcast clouds
134,Carutapera,BR,-1.195,-46.02,78.94,80,77,6.67,broken clouds
135,Skibbereen,IE,51.55,-9.2667,39.0,61,1,27.87,clear sky
136,Tasiilaq,GL,65.6145,-37.6368,30.36,72,100,8.5,overcast clouds
137,Tapa,EE,59.2606,25.9586,27.7,80,98,8.3,overcast clouds
138,Malakal,SS,9.5334,31.6605,76.59,32,77,5.21,broken clouds
139,Hambantota,LK,6.1241,81.1185,77.34,100,20,2.3,few clouds
140,Forssa,FI,60.8146,23.6215,10.67,83,44,4.14,scattered clouds
141,Marrakesh,MA,31.6315,-8.0083,53.67,82,90,4.61,overcast clouds
142,Abha,SA,18.2164,42.5053,55.22,82,0,0.0,clear sky
143,Shellbrook,CA,53.2168,-106.4011,38.43,75,99,14.18,overcast clouds
144,Luderitz,NA,-26.6481,15.1594,58.05,87,0,7.61,clear sky
145,Mogadishu,SO,2.0371,45.3438,78.64,79,100,1.77,light rain
146,Tommot,RU,58.9564,126.2925,20.05,82,100,13.98,overcast clouds
147,Independence,US,39.0911,-94.4155,48.29,46,1,12.66,clear sky
148,Avarua,CK,-21.2078,-159.775,84.25,84,20,5.75,few clouds
149,Mar Del Plata,AR,-38.0023,-57.5575,55.42,94,90,12.66,overcast clouds
150,Huarmey,PE,-10.0681,-78.1522,66.43,86,100,8.81,overcast clouds
151,Maniitsoq,GL,65.4167,-52.9,31.57,87,100,5.06,light snow
152,Kavieng,PG,-2.5744,150.7967,84.63,68,99,3.0,overcast clouds
153,Sola,VU,-13.8833,167.55,81.45,76,25,11.79,scattered clouds
154,Provideniya,RU,64.3833,-173.3,-4.07,81,16,7.96,few clouds
155,Kharovsk,RU,59.9642,40.1912,30.45,90,100,6.91,overcast clouds
156,Esna,EG,25.2934,32.554,59.02,29,91,5.55,overcast clouds
157,Kathmandu,NP,27.7167,85.3167,48.42,100,20,2.3,mist
158,Aykhal,RU,66.0,111.5,-8.52,100,100,4.12,overcast clouds
159,Mount Darwin,ZW,-16.7725,31.5838,62.49,85,65,7.99,broken clouds
160,Seminole,US,28.7086,-81.2081,71.69,88,1,5.75,clear sky
161,Belmonte,BR,-15.8631,-38.8828,75.7,78,100,6.08,overcast clouds
162,Port Lincoln,AU,-34.7333,135.8667,62.49,62,83,16.17,broken clouds
163,Gillette,US,44.2911,-105.5022,49.12,34,90,9.22,overcast clouds
164,Belaya Gora,RU,68.5333,146.4167,-38.7,100,73,0.76,broken clouds
165,Bonoua,CI,5.2741,-3.595,76.62,90,70,5.19,light rain
166,Kirakira,SB,-10.4544,161.9205,83.93,74,25,5.1,scattered clouds
167,Husavik,IS,66.0449,-17.3389,30.11,71,100,14.18,overcast clouds
168,Qasigiannguit,GL,68.8193,-51.1922,21.45,87,100,4.34,overcast clouds
169,Balad,IQ,34.0164,44.1453,61.12,45,0,8.12,clear sky
170,Haines Junction,CA,60.7522,-137.5108,-7.65,84,98,3.44,light snow
171,Puerto Madryn,AR,-42.7692,-65.0385,60.37,63,100,20.0,overcast clouds
172,Kaset Sombun,TH,16.2805,101.9542,72.05,66,100,5.86,overcast clouds
173,Ekibastuz,KZ,51.6667,75.3667,17.01,85,100,19.55,overcast clouds
174,Bukachacha,RU,52.9833,116.9167,13.05,87,100,0.85,overcast clouds
175,Vestmannaeyjar,IS,63.4427,-20.2734,30.24,57,100,4.27,overcast clouds
176,Charters Towers,AU,-20.1,146.2667,89.89,32,0,4.5,clear sky
177,Vung Tau,VN,10.346,107.0843,75.16,87,100,4.81,moderate rain
178,Manavalakurichi,IN,8.1333,77.3,77.09,84,83,3.51,broken clouds
179,Kirensk,RU,57.7853,108.1119,4.87,90,85,7.56,overcast clouds
180,Hienghene,NC,-20.6833,164.9333,82.83,64,22,9.4,few clouds
181,Bengkulu,ID,-3.8004,102.2655,77.56,80,100,3.91,overcast clouds
182,Karratha,AU,-20.7377,116.8463,95.54,21,0,19.73,clear sky
183,Brits,ZA,-25.6347,27.7802,60.12,80,66,13.47,broken clouds
184,Srednekolymsk,RU,67.45,153.6833,-35.16,99,14,2.24,few clouds
185,Sergeyevka,KZ,53.88,67.4158,19.71,90,99,19.15,overcast clouds
186,Ponta Delgada,PT,37.7333,-25.6667,61.52,67,75,11.5,broken clouds
187,Khatanga,RU,71.9667,102.5,0.9,93,100,14.85,overcast clouds
188,Cap Malheureux,MU,-19.9842,57.6142,72.09,66,2,9.84,clear sky
189,Norsup,VU,-16.0667,167.3833,84.2,70,18,11.14,few clouds
190,Kaeo,NZ,-35.1,173.7833,69.8,54,36,7.4,scattered clouds
191,Athens,GR,37.9795,23.7162,59.38,93,100,4.61,overcast clouds
192,Chulumani,BO,-16.4096,-67.5263,64.2,89,100,0.89,overcast clouds
