City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Warri,NG,77.04,overcast clouds,5.5167,5.75,BON Hotel Delta
256,Maiduguri,NG,71.04,clear sky,11.8464,13.1603,Kagel Mari Police Station
257,Palembang,ID,79.07,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
261,Santo Antonio Do Ica,BR,77.13,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
263,Kununurra,AU,91.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
264,Mecca,SA,74.66,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
265,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
266,Wanning,CN,72.79,overcast clouds,18.8003,110.3967,Paradise Hotel
267,Waingapu,ID,86.49,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
269,Ca Mau,VN,74.01,heavy intensity rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
272,Sao Filipe,CV,77.47,clear sky,14.8961,-24.4956,Hotel Xaguate
273,Sur,OM,76.23,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
274,Pontianak,ID,82.2,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
288,Atar,MR,75.76,clear sky,20.5169,-13.0499,Oumou Elghoura
289,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
290,Rapar,IN,72.5,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
292,Pandan,PH,82.36,scattered clouds,14.0453,124.1694,Bonifacio Lodge
294,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
297,Ayakudi,IN,73.54,overcast clouds,10.45,77.55,Subiksham.in
307,Coahuayana,MX,76.28,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
311,Mlonggo,ID,83.32,overcast clouds,-6.5333,110.7,Asia Metal Art
314,Port-Gentil,GA,80.02,light rain,-0.7193,8.7815,Fengshui Residence
319,Kimbe,PG,88.03,light rain,-5.5502,150.1429,Kimbe Bay Hotel
322,Jaragua,BR,75.42,few clouds,-15.7569,-49.3344,Danbury Hotel
325,Moindou,NC,89.55,broken clouds,-21.6924,165.677,Gite de la RYAWA
326,Vaitape,PF,81.59,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
327,Songkhla,TH,77.05,overcast clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
329,Bhimunipatnam,IN,76.51,overcast clouds,17.8833,83.4333,Bheemili Court
331,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
333,Samarai,PG,84.58,overcast clouds,-10.6167,150.6667,Nuli Sapi
335,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
342,Barao De Melgaco,BR,82.92,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
346,Mareeba,AU,83.12,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
347,Itarema,BR,80.22,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
348,Isangel,VU,81.59,clear sky,-19.55,169.2667,Tanna Lodge
349,Black River,JM,78.8,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
351,Arlit,NE,74.46,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
