City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Patricio,US,2021-11-25 16:15:33,28.017,-97.5169,76.95,69,90,8.05
68,Arraial Do Cabo,BR,2021-11-25 16:15:33,-22.9661,-42.0278,84.16,65,0,18.41
69,Kapaa,US,2021-11-25 16:15:34,22.0752,-159.319,75.52,68,20,9.22
70,Luderitz,NA,2021-11-25 16:15:34,-26.6481,15.1594,66.15,74,55,10.89
71,Northam,GB,2021-11-25 16:15:35,51.0333,-4.2167,45.01,68,79,11.59
72,Quatre Cocos,MU,2021-11-25 16:15:35,-20.2078,57.7625,78.91,68,11,4.21
73,Cuamba,MZ,2021-11-25 16:15:35,-14.8031,36.5372,74.05,80,65,6.93
74,Yar-Sale,RU,2021-11-25 16:15:35,66.8333,70.8333,8.65,94,100,7.81
75,Hithadhoo,MV,2021-11-25 16:15:36,-0.6,73.0833,82.09,70,77,15.3
76,Gat,IL,2021-11-25 16:15:36,31.61,34.7642,68.68,100,2,5.57
77,Sao Filipe,CV,2021-11-25 16:15:36,14.8961,-24.4956,78.57,73,100,8.21
78,Ankazobe,MG,2021-11-25 16:15:37,-18.3167,47.1167,68.41,75,95,8.57
79,Nanortalik,GL,2021-11-25 16:15:37,60.1432,-45.2371,37.56,99,100,1.95
80,Labuhan,ID,2021-11-25 16:15:37,-6.8844,112.2051,78.3,88,100,11.52
81,Awbari,LY,2021-11-25 16:15:38,26.5921,12.7805,81.77,21,1,12.77
82,Hauterive,FR,2021-11-25 16:15:38,46.0901,3.4459,39.96,87,100,6.08
83,Jamestown,US,2021-11-25 16:15:38,42.097,-79.2353,47.52,81,90,3.44
84,Hoa Binh,VN,2021-11-25 16:15:39,20.8133,105.3383,62.49,78,1,2.01
85,Caloundra,AU,2021-11-25 16:15:39,-26.8,153.1333,74.89,97,100,3.0
86,La Macarena,CO,2021-11-25 16:15:39,2.1837,-73.7849,74.16,95,100,1.59
87,Samarai,PG,2021-11-25 16:15:40,-10.6167,150.6667,82.71,79,79,11.72
88,Macusani,PE,2021-11-25 16:15:40,-14.0833,-70.4333,49.55,58,99,7.7
89,Clyde River,CA,2021-11-25 16:15:40,70.4692,-68.5914,19.63,93,75,9.22
90,Tual,ID,2021-11-25 16:15:41,-5.6667,132.75,84.31,73,38,8.21
91,Joshimath,IN,2021-11-25 16:15:41,30.5667,79.5667,46.71,38,5,6.87
92,Ponta Do Sol,PT,2021-11-25 16:16:41,32.6667,-17.1,68.72,60,89,3.67
93,Bathsheba,BB,2021-11-25 16:16:42,13.2167,-59.5167,83.01,83,20,9.22
94,Thunder Bay,CA,2021-11-25 16:13:28,48.4001,-89.3168,13.55,60,100,11.99
95,Kahului,US,2021-11-25 16:16:42,20.8947,-156.47,76.84,79,1,4.61
96,Kununurra,AU,2021-11-25 16:14:42,-15.7667,128.7333,80.58,89,40,0.0
97,Coos Bay,US,2021-11-25 16:14:05,43.3665,-124.2179,40.93,93,1,9.22
